Rank;Tier;Username;Join Date;Gold Medals;Silver Medals;Bronze Medals;Points
1;grandmaster;Larxel;2017;8;18;42;1161
2;grandmaster;Shivam Bansal;2018;5;5;32;1062
3;grandmaster;Gabriel Preda;2017;7;3;40;870
4;grandmaster;SRK;2013;10;2;3;722
5;master;fedesoriano;2021;3;7;12;712
6;master;Timo Bozsolik;2017;3;4;5;694
7;grandmaster;Ruchi Bhatia;2019;10;8;18;674
8;expert;devrishi;2019;1;0;3;648
9;grandmaster;Chris Crawford;2016;10;13;53;645
10;grandmaster;Chris Deotte;2018;8;9;27;583
11;master;Marília Prata;2019;1;7;73;548
12;master;Mathurin Aché;2012;2;3;43;527
13;grandmaster;Bojan Tunguz;2016;6;10;37;520
14;grandmaster;Abhishek Thakur;2011;10;8;24;518
15;master;Anandhu H;2021;3;10;3;482
16;grandmaster;Tensor Girl;2015;9;12;9;477
17;expert;Yam Peleg;2015;1;3;27;463
18;grandmaster;Zeeshan-ul-hassan Usmani;2016;6;7;23;461
19;master;Saurabh Shahane;2019;2;3;48;446
20;grandmaster;Vopani;2013;8;2;7;409
21;expert;Möbius;2017;2;2;26;392
22;grandmaster;Rachael Tatman;2017;7;8;43;390
23;master;Rashik Rahman;2020;1;5;6;381
24;master;Abigail Larion;2017;4;10;43;365
25;expert;Mitchell J;2018;3;1;1;329
26;master;Sourav Banerjee;2021;5;3;2;328
27;master;xhlulu;2019;3;5;26;305
28;expert;Rishi Damarla;2020;0;1;59;304
29;grandmaster;K Scott Mader;2013;5;8;19;300
30;master;Omer Colakoglu;2018;4;2;2;300
31;master;Akash Patel;2020;1;4;0;291
32;master;Dhruvil Dave;2020;2;8;8;276
33;grandmaster;Esther Kim;2016;5;5;14;262
34;expert;Baris Dincer;2021;0;1;26;258
35;master;DanB;2011;3;4;9;257
36;master;John Harshith;2021;1;4;2;227
37;expert;Ram Jas Maurya;2021;0;0;20;209
38;expert;Brenda N;2019;0;6;9;208
39;master;Andrada Olteanu;2020;1;7;12;204
40;master;Manas Garg;2020;2;3;5;199
41;expert;Awsaf;2020;0;4;12;196
42;grandmaster;Firat Gonen;2019;5;6;1;194
43;master;Moore;2020;3;3;3;194
44;master;Mehmet Akturk;2020;1;10;1;185
45;expert;Deep Contractor;2020;0;3;12;184
46;expert;Konrad Banachewicz;2011;0;2;23;179
47;master;Prashant Banerjee;2018;5;4;8;179
48;master;Aleksey Bilogur;2017;2;5;18;178
49;master;Subham Surana;2021;1;5;4;177
50;expert;Arpit Verma;2017;0;0;28;175
51;expert;Vitalii Mokin;2018;0;10;8;174
52;expert;Rounak Banik;2017;3;0;0;172
53;expert;Arjun Prasad Sarkhel;2020;1;0;3;171
54;master;PromptCloud;2017;1;4;18;169
55;expert;dataista0 (Julián Peller);2017;1;0;8;169
56;master;Devakumar K. P.;2018;2;5;4;169
57;master;Tejashvi;2020;1;4;2;167
58;expert;Kalilur Rahman;2020;0;0;20;164
59;master;Heads or Tails;2017;2;5;2;163
60;expert;Rob Mulla;2016;1;1;10;162
61;expert;Yury Kashnitsky;2014;2;0;4;160
62;master;Hamdalla F. Kareem;2020;1;5;0;158
63;expert;kukuroo3;2021;0;1;11;156
64;master;Parul Pandey;2016;2;4;11;154
65;expert;Andre Sionek;2018;1;1;1;154
66;master;JohnM;2015;2;4;7;153
67;expert;Yamac Eren Ay;2020;0;0;4;151
68;expert;Luiz Bueno;2021;0;5;3;151
69;master;Murilão;2020;6;0;0;150
70;expert;Meet Nagadia;2021;0;1;15;147
71;expert;koustubhk;2020;0;0;20;146
72;expert;Neha Prabhavalkar;2020;2;2;5;145
73;master;Divyansh Agrawal;2019;1;7;9;143
74;expert;mysar ahmad bhat;2021;0;0;20;142
75;expert;Kash;2018;1;1;15;141
76;expert;PAVAN KUMAR D;2019;0;5;10;141
77;expert;Lasal Jayawardena;2021;0;2;12;141
78;master;Alex Shonenkov;2018;3;3;5;140
79;expert;Gaurav Dutta;2020;0;2;6;138
80;expert;Radmir Zosimov;2021;1;3;0;137
81;expert;Sanskar Hasija;2021;1;2;0;136
82;expert;Y.Nakama;2018;2;0;4;135
83;expert;CodeBreaker619;2020;0;5;13;135
84;expert;Anmol Kumar;2018;1;1;9;133
85;expert;Joe Young;2017;1;0;2;130
86;expert;Noah Daniels;2018;0;6;27;130
87;expert;Gerry;2019;1;0;5;130
88;master;raddar;2016;1;4;11;129
89;expert;Jonathan Besomi;2019;1;0;4;129
90;expert;Thomas Konstantin;2020;0;2;18;129
91;expert;Yash Patel;2021;0;6;1;128
92;master;babyoda;2021;1;5;0;127
93;expert;Karnika Kapoor;2019;0;6;1;126
94;expert;Nikita Kozodoi;2016;1;1;2;124
95;expert;Vahideh Dashti;2020;0;5;0;124
96;master;Raphael Fontes;2019;3;2;3;123
97;expert;Jesse Mostipak;2020;1;1;6;123
98;master;Tawara;2016;1;6;4;119
99;expert;Darien Schettler;2018;0;1;8;119
100;expert;Takoi;2016;0;4;2;116
101;expert;lucif3r;2021;0;3;6;113
102;master;shivan kumar;2019;1;6;1;111
103;expert;Rishabh Misra;2015;2;1;0;110
104;master;Bulent Siyah;2018;1;4;11;110
105;expert;Andriy Samoshyn;2020;0;4;10;109
106;expert;Salman Ibne Eunus;2020;0;5;8;107
107;expert;Praveen;2015;1;1;5;106
108;expert;Sooter Saalu;2021;1;0;2;106
109;expert;tito;2016;2;1;3;105
110;expert;Sven Eschlbeck;2021;0;0;13;103
111;expert;M Yasser H;2021;0;0;11;102
112;expert;Clayton Miller;2012;0;0;12;101
113;expert;Aman Kumar;2019;0;5;4;101
114;expert;torch;2018;0;4;3;99
115;expert;kkiller;2018;0;3;9;99
116;expert;Cam Nugent;2017;2;0;3;96
117;master;Iafoss;2018;1;5;5;96
118;expert;Stefano Leone;2018;1;2;5;96
119;expert;M.Innat;2018;0;3;5;96
120;expert;Michal Bogacz;2019;1;0;9;96
121;expert;Bill Cruise;2014;0;0;9;95
122;expert;Henrique Mendonça;2016;1;0;4;95
123;expert;Komal Khetlani;2018;0;1;11;95
124;expert;Halime Doðan;2021;0;4;0;95
125;expert;Sanjeet Singh Naik;2021;0;0;8;95
126;expert;Ben Roshan;2020;1;0;3;94
127;expert;Arya krishnan A R;2021;0;5;0;94
128;expert;DimitreOliveira;2018;0;2;13;93
129;expert;Slawek Biel;2018;1;1;3;93
130;expert;Berkay Alan;2019;0;1;8;93
131;expert;Ekrem Bayar;2017;0;7;0;92
132;expert;Balraj Ashwath;2018;0;2;14;92
133;expert;Aman Miglani;2020;1;0;4;92
134;expert;SANDHYA S;2021;0;1;12;92
135;expert;Shashwat Tiwari;2018;0;2;7;89
136;expert;datartist;2019;1;0;3;88
137;expert;Carl McBride Ellis;2020;0;2;11;87
138;expert;Jehan Bhathena;2021;0;1;6;87
139;expert;Remek Kinas;2020;0;2;5;86
140;expert;Zahra Amini;2021;0;1;5;85
141;expert;Sparsh Gupta;2020;1;0;5;84
142;expert;Olga Belitskaya;2017;1;1;14;83
143;expert;BryanB;2017;0;3;6;82
144;expert;Ayush Garg;2017;1;1;1;82
145;expert;Caesar Lupum;2020;0;5;4;82
146;expert;PavanKalyan;2019;0;0;9;80
147;expert;Durgesh Rao;2021;0;0;9;80
148;master;Anna Wolak;2015;3;4;7;79
149;expert;Edward Zhang;2019;0;1;9;79
150;expert;Ýlker Yýldýz;2020;0;4;0;79
151;expert;Siddharth Kulkarni;2021;0;1;7;78
152;master;Ed King;2017;3;3;11;77
153;expert;Aayush Mishra;2020;0;1;14;77
154;expert;Yasir Hussein Shakir;2020;0;0;8;77
155;expert;Aung Pyae;2019;1;1;1;76
156;expert;Andrey Shtrauss;2021;0;2;2;76
157;expert;ilovescience;2017;1;1;1;75
158;master;Atul Anand {Jha};2018;2;3;0;75
159;expert;Brandon Conrady;2021;0;0;9;75
160;expert;Leonardo Henrique;2019;1;1;2;74
161;expert;Faisal Qureshi;2020;0;1;9;74
162;expert;Christian Lillelund;2020;1;2;5;74
163;expert;KS;2018;0;0;7;73
164;expert;ammarali32;2020;1;0;7;73
165;expert;Nicholas Broad ??;2020;0;1;4;72
166;expert;Rishav Sharma;2021;1;0;5;72
